Accelerator,Platform,Category,Total_Functions,Flagged_Functions,BER
Google TPU,coral,Relevant Functions,159,14,91.19
Google TPU,coral,KD Entry Point,159,15,90.57
Google TPU,coral,SMem Handling,159,18,88.68
NXP NPU,nxp,Relevant Functions,1273,13,98.98
NXP NPU,nxp,KD Entry Point,1273,9,99.29
NXP NPU,nxp,SMem Handling,1273,16,98.74
TMMA,ti,Relevant Functions,6138,8,99.87
TMMA,ti,KD Entry Point,6138,9,99.85
TMMA,ti,SMem Handling,6138,16,99.74
HAILO NPU,hailo,Relevant Functions,296,9,96.96
HAILO NPU,hailo,KD Entry Point,296,19,93.58
HAILO NPU,hailo,SMem Handling,296,24,91.89
NVIDIA GPU,nvidia,Relevant Functions,7624,30,99.61
NVIDIA GPU,nvidia,KD Entry Point,7624,41,99.46
NVIDIA GPU,nvidia,SMem Handling,7624,46,99.40
AWS INF,aws,Relevant Functions,635,7,98.90
AWS INF,aws,KD Entry Point,635,11,98.27
AWS INF,aws,SMem Handling,635,19,97.01
