,,,Relevant Functions,,,,,,,,,,,KD Entry Point,,,,,,,,,,,SMem Handling,,,,,,,,,,
Accelerator,Platform,Threshold,Total,Flagged,BER,Manual,NER,VRC,Retrieved,TP,Precision,Recall,F1,Total,Flagged,BER,Manual,NER,VRC,Retrieved,TP,Precision,Recall,F1,Total,Flagged,BER,Manual,NER,VRC,Retrieved,TP,Precision,Recall,F1
Google TPU,coral,50,159,14,91.19,1,99.37,90.00,13,1,0.0769,1.0000,0.1429,159,14,91.19,9,94.34,90.00,14,2,0.1333,1.0000,0.2353,159,17,89.31,9,94.34,80.00,17,1,0.0588,1.0000,0.1111
Google TPU,coral,52.5,159,14,91.19,1,99.37,90.00,13,1,0.0769,1.0000,0.1429,159,14,91.19,9,94.34,90.00,14,2,0.1333,1.0000,0.2353,159,17,89.31,9,94.34,80.00,17,1,0.0588,1.0000,0.1111
Google TPU,coral,55,159,14,91.19,1,99.37,90.00,13,1,0.0769,1.0000,0.1429,159,14,91.19,9,94.34,90.00,14,2,0.1333,1.0000,0.2353,159,17,89.31,9,94.34,80.00,17,1,0.0588,1.0000,0.1111
Google TPU,coral,57.5,159,14,91.19,1,99.37,90.00,13,1,0.0769,1.0000,0.1429,159,14,91.19,9,94.34,90.00,14,2,0.1333,1.0000,0.2353,159,17,89.31,9,94.34,80.00,17,1,0.0588,1.0000,0.1111
Google TPU,coral,60,159,14,91.19,1,99.37,90.00,13,1,0.0769,1.0000,0.1429,159,14,91.19,9,94.34,90.00,14,2,0.1333,1.0000,0.2353,159,17,89.31,9,94.34,80.00,17,1,0.0588,1.0000,0.1111
Google TPU,coral,62.5,159,14,91.19,1,99.37,90.00,12,1,0.0833,1.0000,0.1538,159,14,91.19,9,94.34,90.00,11,2,0.1667,1.0000,0.2857,159,17,89.31,9,94.34,80.00,14,1,0.0714,1.0000,0.1333
Google TPU,coral,65,159,14,91.19,1,99.37,90.00,12,1,0.0833,1.0000,0.1538,159,14,91.19,9,94.34,90.00,11,2,0.1667,1.0000,0.2857,159,17,89.31,9,94.34,80.00,14,1,0.0714,1.0000,0.1333
Google TPU,coral,67.5,159,14,91.19,1,99.37,90.00,12,1,0.0833,1.0000,0.1538,159,14,91.19,9,94.34,90.00,11,2,0.1667,1.0000,0.2857,159,17,89.31,9,94.34,80.00,14,1,0.0714,1.0000,0.1333
Google TPU,coral,70,159,14,91.19,1,99.37,90.00,12,1,0.0833,1.0000,0.1538,159,14,91.19,9,94.34,90.00,11,2,0.1667,1.0000,0.2857,159,17,89.31,9,94.34,80.00,14,1,0.0714,1.0000,0.1333
Google TPU,coral,72.5,159,14,91.19,1,99.37,90.00,8,1,0.1250,1.0000,0.2222,159,14,91.19,9,94.34,90.00,11,2,0.1667,1.0000,0.2857,159,17,89.31,9,94.34,80.00,10,1,0.1000,1.0000,0.1818
Google TPU,coral,75,159,14,91.19,1,99.37,90.00,8,1,0.1250,1.0000,0.2222,159,14,91.19,9,94.34,90.00,11,2,0.1667,1.0000,0.2857,159,17,89.31,9,94.34,80.00,10,1,0.1000,1.0000,0.1818
