Accelerator,Platform,Category,Total_Functions,Flagged_Functions,Manually_Analyzed_Functions,VRC,NER
Google TPU,coral,Relevant Functions,159,12,1,90.00,99.37
Google TPU,coral,KD Entry Point,159,13,7,90.00,95.60
Google TPU,coral,SMem Handling,159,18,4,100.00,97.48
NXP NPU,nxp,Relevant Functions,1273,13,4,82.50,99.69
NXP NPU,nxp,KD Entry Point,1273,9,6,65.00,99.53
NXP NPU,nxp,SMem Handling,1273,16,8,85.00,99.37
TMMA,ti,Relevant Functions,6138,7,4,80.00,99.93
TMMA,ti,KD Entry Point,6138,9,2,100.00,99.97
TMMA,ti,SMem Handling,6138,17,3,100.00,99.95
HAILO NPU,hailo,Relevant Functions,296,8,3,85.00,98.99
HAILO NPU,hailo,KD Entry Point,296,20,4,100.00,98.65
HAILO NPU,hailo,SMem Handling,296,21,3,100.00,98.99
NVIDIA GPU,nvidia,Relevant Functions,7624,29,14,80.00,99.82
NVIDIA GPU,nvidia,KD Entry Point,7624,35,18,90.00,99.76
NVIDIA GPU,nvidia,SMem Handling,7624,45,28,90.00,99.63
AWS INF,aws,Relevant Functions,635,8,5,73.33,99.21
AWS INF,aws,KD Entry Point,635,13,7,90.00,98.90
AWS INF,aws,SMem Handling,635,17,14,83.33,97.80
