Accelerator,Platform,Category,Total_Functions,Avg_Flagged_Functions,Avg_BER,Runs
Google TPU,coral,Relevant Functions,159,13,91.76,10
Google TPU,coral,KD Entry Point,159,14,91.01,10
Google TPU,coral,SMem Handling,159,18,88.74,10
NXP NPU,nxp,Relevant Functions,1273,13,98.96,10
NXP NPU,nxp,KD Entry Point,1273,9,99.30,10
NXP NPU,nxp,SMem Handling,1273,17,98.69,10
TMMA,ti,Relevant Functions,6138,8,99.87,10
TMMA,ti,KD Entry Point,6138,9,99.85,10
TMMA,ti,SMem Handling,6138,17,99.73,10
HAILO NPU,hailo,Relevant Functions,296,8,97.33,10
HAILO NPU,hailo,KD Entry Point,296,19,93.48,10
HAILO NPU,hailo,SMem Handling,296,22,92.50,10
NVIDIA GPU,nvidia,Relevant Functions,7624,29,99.62,10
NVIDIA GPU,nvidia,KD Entry Point,7624,40,99.48,10
NVIDIA GPU,nvidia,SMem Handling,7624,44,99.42,10
AWS INF,aws,Relevant Functions,635,8,98.76,10
AWS INF,aws,KD Entry Point,635,12,98.05,10
AWS INF,aws,SMem Handling,635,18,97.18,10
