Accelerator,Platform,Category,Total_Functions,Avg_Flagged_Functions,Avg_Manually_Analyzed_Functions,Avg_VRC,Avg_NER,Runs
Google TPU,coral,Relevant Functions,159,13,1,90.00,99.37,10
Google TPU,coral,KD Entry Point,159,14,8,90.00,94.97,10
Google TPU,coral,SMem Handling,159,18,6,91.50,96.48,10
NXP NPU,nxp,Relevant Functions,1273,13,4,84.75,99.70,10
NXP NPU,nxp,KD Entry Point,1273,9,7,65.50,99.47,10
NXP NPU,nxp,SMem Handling,1273,17,10,80.00,99.25,10
TMMA,ti,Relevant Functions,6138,8,5,79.50,99.91,10
TMMA,ti,KD Entry Point,6138,9,6,91.50,99.91,10
TMMA,ti,SMem Handling,6138,17,4,99.00,99.94,10
HAILO NPU,hailo,Relevant Functions,296,8,3,85.00,99.02,10
HAILO NPU,hailo,KD Entry Point,296,19,13,94.50,95.57,10
HAILO NPU,hailo,SMem Handling,296,22,9,94.00,96.93,10
NVIDIA GPU,nvidia,Relevant Functions,7624,29,14,81.00,99.82,10
NVIDIA GPU,nvidia,KD Entry Point,7624,40,19,90.00,99.75,10
NVIDIA GPU,nvidia,SMem Handling,7624,44,29,89.83,99.62,10
AWS INF,aws,Relevant Functions,635,8,6,73.50,99.12,10
AWS INF,aws,KD Entry Point,635,12,8,90.00,98.80,10
AWS INF,aws,SMem Handling,635,18,14,83.66,97.80,10
