,,,,Relevant Functions,,,,,,,,,,,KD Entry Point,,,,,,,,,,,SMem Handling,,,,,,,,,,
Accelerator,Platform,Threshold,Runs,Total,Flagged,BER,Manual,NER,VRC,Retrieved,TP,Precision,Recall,F1,Total,Flagged,BER,Manual,NER,VRC,Retrieved,TP,Precision,Recall,F1,Total,Flagged,BER,Manual,NER,VRC,Retrieved,TP,Precision,Recall,F1
Google TPU,coral,50,10,159,13,91.76,1,99.37,90.00,12,1,0.0814,1.0000,0.1505,159,14,91.01,8,94.97,90.00,14,2,0.1316,1.0000,0.2324,159,18,88.74,6,96.48,91.50,18,1,0.0560,1.0000,0.1060
Google TPU,coral,52.5,10,159,13,91.76,1,99.37,90.00,12,1,0.0814,1.0000,0.1505,159,14,91.01,8,94.97,90.00,14,2,0.1316,1.0000,0.2324,159,18,88.74,6,96.48,91.50,18,1,0.0563,1.0000,0.1066
Google TPU,coral,55,10,159,13,91.76,1,99.37,90.00,12,1,0.0814,1.0000,0.1505,159,14,91.01,8,94.97,90.00,14,2,0.1316,1.0000,0.2324,159,18,88.74,6,96.48,91.50,18,1,0.0563,1.0000,0.1066
Google TPU,coral,57.5,10,159,13,91.76,1,99.37,90.00,12,1,0.0814,1.0000,0.1505,159,14,91.01,8,94.97,90.00,14,2,0.1316,1.0000,0.2324,159,18,88.74,6,96.48,91.50,18,1,0.0563,1.0000,0.1066
Google TPU,coral,60,10,159,13,91.76,1,99.37,90.00,12,1,0.0814,1.0000,0.1505,159,14,91.01,8,94.97,90.00,14,2,0.1316,1.0000,0.2324,159,18,88.74,6,96.48,91.50,18,1,0.0563,1.0000,0.1066
Google TPU,coral,62.5,10,159,13,91.76,1,99.37,90.00,11,1,0.0894,1.0000,0.1640,159,14,91.01,8,94.97,90.00,12,2,0.1522,1.0000,0.2641,159,18,88.74,6,96.48,91.50,14,1,0.0718,1.0000,0.1339
Google TPU,coral,65,10,159,13,91.76,1,99.37,90.00,11,1,0.0894,1.0000,0.1640,159,14,91.01,8,94.97,90.00,12,2,0.1522,1.0000,0.2641,159,18,88.74,6,96.48,91.50,14,1,0.0718,1.0000,0.1339
Google TPU,coral,67.5,10,159,13,91.76,1,99.37,90.00,11,1,0.0894,1.0000,0.1640,159,14,91.01,8,94.97,90.00,12,2,0.1522,1.0000,0.2641,159,18,88.74,6,96.48,91.50,14,1,0.0718,1.0000,0.1339
Google TPU,coral,70,10,159,13,91.76,1,99.37,90.00,11,1,0.0894,1.0000,0.1640,159,14,91.01,8,94.97,90.00,12,2,0.1522,1.0000,0.2641,159,18,88.74,6,96.48,91.50,14,1,0.0718,1.0000,0.1339
Google TPU,coral,72.5,10,159,13,91.76,1,99.37,90.00,7,1,0.1379,1.0000,0.2417,159,14,91.01,8,94.97,90.00,12,2,0.1533,1.0000,0.2657,159,18,88.74,6,96.48,91.50,10,1,0.0984,1.0000,0.1791
Google TPU,coral,75,10,159,13,91.76,1,99.37,90.00,7,1,0.1379,1.0000,0.2417,159,14,91.01,8,94.97,90.00,12,2,0.1533,1.0000,0.2657,159,18,88.74,6,96.48,91.50,10,1,0.0984,1.0000,0.1791
Google TPU,coral,77.5,10,159,13,91.76,1,99.37,90.00,7,1,0.1379,1.0000,0.2417,159,14,91.01,8,94.97,90.00,12,2,0.1533,1.0000,0.2657,159,18,88.74,6,96.48,91.50,10,1,0.0984,1.0000,0.1791
Google TPU,coral,80,10,159,13,91.76,1,99.37,90.00,7,1,0.1379,1.0000,0.2417,159,14,91.01,8,94.97,90.00,12,2,0.1533,1.0000,0.2657,159,18,88.74,6,96.48,91.50,10,1,0.0984,1.0000,0.1791
Google TPU,coral,82.5,10,159,13,91.76,1,99.37,90.00,1,1,1.0000,1.0000,1.0000,159,14,91.01,8,94.97,90.00,8,2,0.2211,1.0000,0.3618,159,18,88.74,6,96.48,91.50,8,1,0.1165,0.9000,0.2061
Google TPU,coral,85,10,159,13,91.76,1,99.37,90.00,1,1,1.0000,1.0000,1.0000,159,14,91.01,8,94.97,90.00,8,2,0.2211,1.0000,0.3618,159,18,88.74,6,96.48,91.50,8,1,0.1165,0.9000,0.2061
Google TPU,coral,87.5,10,159,13,91.76,1,99.37,90.00,1,1,1.0000,1.0000,1.0000,159,14,91.01,8,94.97,90.00,8,2,0.2211,1.0000,0.3618,159,18,88.74,6,96.48,91.50,6,1,0.1376,0.8000,0.2345
Google TPU,coral,90,10,159,13,91.76,1,99.37,90.00,1,1,1.0000,1.0000,1.0000,159,14,91.01,8,94.97,90.00,8,2,0.2211,1.0000,0.3618,159,18,88.74,6,96.48,91.50,6,1,0.1376,0.8000,0.2345
Google TPU,coral,92.5,10,159,13,91.76,1,99.37,90.00,0,0,0.0000,0.0000,0.0000,159,14,91.01,8,94.97,90.00,6,0,0.0000,0.0000,0.0000,159,18,88.74,6,96.48,91.50,5,0,0.0500,0.3000,0.0857
Google TPU,coral,95,10,159,13,91.76,1,99.37,90.00,0,0,0.0000,0.0000,0.0000,159,14,91.01,8,94.97,90.00,6,0,0.0000,0.0000,0.0000,159,18,88.74,6,96.48,91.50,5,0,0.0500,0.3000,0.0857
Google TPU,coral,97.5,10,159,13,91.76,1,99.37,90.00,0,0,0.0000,0.0000,0.0000,159,14,91.01,8,94.97,90.00,6,0,0.0000,0.0000,0.0000,159,18,88.74,6,96.48,91.50,5,0,0.0500,0.3000,0.0857
Google TPU,coral,100,10,159,13,91.76,1,99.37,90.00,0,0,0.0000,0.0000,0.0000,159,14,91.01,8,94.97,90.00,6,0,0.0000,0.0000,0.0000,159,18,88.74,6,96.48,91.50,5,0,0.0500,0.3000,0.0857
NXP NPU,nxp,50,10,1273,13,98.96,4,99.70,84.75,13,4,0.2657,1.0000,0.4197,1273,9,99.30,7,99.47,65.50,9,2,0.2347,1.0000,0.3796,1273,17,98.69,10,99.25,80.00,16,2,0.1232,1.0000,0.2192
NXP NPU,nxp,52.5,10,1273,13,98.96,4,99.70,84.75,13,4,0.2657,1.0000,0.4197,1273,9,99.30,7,99.47,65.50,9,2,0.2369,1.0000,0.3826,1273,17,98.69,10,99.25,80.00,16,2,0.1077,0.8500,0.1911
NXP NPU,nxp,55,10,1273,13,98.96,4,99.70,84.75,13,4,0.2657,1.0000,0.4197,1273,9,99.30,7,99.47,65.50,9,2,0.2369,1.0000,0.3826,1273,17,98.69,10,99.25,80.00,16,2,0.1077,0.8500,0.1911
NXP NPU,nxp,57.5,10,1273,13,98.96,4,99.70,84.75,13,4,0.2657,1.0000,0.4197,1273,9,99.30,7,99.47,65.50,9,2,0.2369,1.0000,0.3826,1273,17,98.69,10,99.25,80.00,16,2,0.1077,0.8500,0.1911
NXP NPU,nxp,60,10,1273,13,98.96,4,99.70,84.75,13,4,0.2657,1.0000,0.4197,1273,9,99.30,7,99.47,65.50,9,2,0.2369,1.0000,0.3826,1273,17,98.69,10,99.25,80.00,16,2,0.1077,0.8500,0.1911
NXP NPU,nxp,62.5,10,1273,13,98.96,4,99.70,84.75,13,4,0.2710,1.0000,0.4262,1273,9,99.30,7,99.47,65.50,4,1,0.2150,0.4500,0.2904,1273,17,98.69,10,99.25,80.00,14,2,0.1238,0.8500,0.2158
NXP NPU,nxp,65,10,1273,13,98.96,4,99.70,84.75,13,4,0.2710,1.0000,0.4262,1273,9,99.30,7,99.47,65.50,4,1,0.2150,0.4500,0.2904,1273,17,98.69,10,99.25,80.00,14,2,0.1238,0.8500,0.2158
NXP NPU,nxp,67.5,10,1273,13,98.96,4,99.70,84.75,13,4,0.2710,1.0000,0.4262,1273,9,99.30,7,99.47,65.50,4,1,0.2150,0.4500,0.2904,1273,17,98.69,10,99.25,80.00,14,2,0.1238,0.8500,0.2158
NXP NPU,nxp,70,10,1273,13,98.96,4,99.70,84.75,13,4,0.2710,1.0000,0.4262,1273,9,99.30,7,99.47,65.50,4,1,0.2150,0.4500,0.2904,1273,17,98.69,10,99.25,80.00,14,2,0.1238,0.8500,0.2158
NXP NPU,nxp,72.5,10,1273,13,98.96,4,99.70,84.75,8,4,0.3988,1.0000,0.5694,1273,9,99.30,7,99.47,65.50,3,0,0.0583,0.1000,0.0733,1273,17,98.69,10,99.25,80.00,11,2,0.1644,0.8500,0.2750
NXP NPU,nxp,75,10,1273,13,98.96,4,99.70,84.75,8,4,0.3988,1.0000,0.5694,1273,9,99.30,7,99.47,65.50,3,0,0.0583,0.1000,0.0733,1273,17,98.69,10,99.25,80.00,11,2,0.1644,0.8500,0.2750
NXP NPU,nxp,77.5,10,1273,13,98.96,4,99.70,84.75,8,4,0.3988,1.0000,0.5694,1273,9,99.30,7,99.47,65.50,3,0,0.0583,0.1000,0.0733,1273,17,98.69,10,99.25,80.00,11,2,0.1644,0.8500,0.2750
NXP NPU,nxp,80,10,1273,13,98.96,4,99.70,84.75,8,4,0.3988,1.0000,0.5694,1273,9,99.30,7,99.47,65.50,3,0,0.0583,0.1000,0.0733,1273,17,98.69,10,99.25,80.00,11,2,0.1644,0.8500,0.2750
NXP NPU,nxp,82.5,10,1273,13,98.96,4,99.70,84.75,2,2,0.7334,0.5000,0.5905,1273,9,99.30,7,99.47,65.50,1,0,0.0000,0.0000,0.0000,1273,17,98.69,10,99.25,80.00,5,1,0.1693,0.4500,0.2448
NXP NPU,nxp,85,10,1273,13,98.96,4,99.70,84.75,2,2,0.7334,0.5000,0.5905,1273,9,99.30,7,99.47,65.50,1,0,0.0000,0.0000,0.0000,1273,17,98.69,10,99.25,80.00,5,1,0.1693,0.4500,0.2448
NXP NPU,nxp,87.5,10,1273,13,98.96,4,99.70,84.75,1,2,0.8000,0.4500,0.5714,1273,9,99.30,7,99.47,65.50,1,0,0.0000,0.0000,0.0000,1273,17,98.69,10,99.25,80.00,4,1,0.2450,0.4500,0.3102
