Accelerator,Platform,Category,Total_Functions,Median_Flagged_Functions,Median_BER,Runs
Google TPU,coral,Relevant Functions,159,13,91.82,10
Google TPU,coral,KD Entry Point,159,15,90.57,10
Google TPU,coral,SMem Handling,159,18,88.68,10
NXP NPU,nxp,Relevant Functions,1273,13,98.98,10
NXP NPU,nxp,KD Entry Point,1273,9,99.29,10
NXP NPU,nxp,SMem Handling,1273,17,98.70,10
TMMA,ti,Relevant Functions,6138,8,99.87,10
TMMA,ti,KD Entry Point,6138,9,99.85,10
TMMA,ti,SMem Handling,6138,17,99.72,10
HAILO NPU,hailo,Relevant Functions,296,8,97.30,10
HAILO NPU,hailo,KD Entry Point,296,19,93.58,10
HAILO NPU,hailo,SMem Handling,296,23,92.40,10
NVIDIA GPU,nvidia,Relevant Functions,7624,29,99.62,10
NVIDIA GPU,nvidia,KD Entry Point,7624,40,99.48,10
NVIDIA GPU,nvidia,SMem Handling,7624,45,99.41,10
AWS INF,aws,Relevant Functions,635,8,98.74,10
AWS INF,aws,KD Entry Point,635,12,98.11,10
AWS INF,aws,SMem Handling,635,18,97.17,10
