,,,,Relevant Functions,,,,,,,,,,,KD Entry Point,,,,,,,,,,,SMem Handling,,,,,,,,,,
Accelerator,Platform,Threshold,Runs,Total,Flagged,BER,Manual,NER,VRC,Retrieved,TP,Precision,Recall,F1,Total,Flagged,BER,Manual,NER,VRC,Retrieved,TP,Precision,Recall,F1,Total,Flagged,BER,Manual,NER,VRC,Retrieved,TP,Precision,Recall,F1
Google TPU,coral,50,10,159,13,91.82,1,99.37,90.00,13,1,0.0801,1.0000,0.1483,159,15,90.57,8,94.97,90.00,15,1,0.0667,1.0000,0.1250,159,18,88.68,6,96.55,90.00,18,1,0.0556,1.0000,0.1053
Google TPU,coral,52.5,10,159,13,91.82,1,99.37,90.00,13,1,0.0801,1.0000,0.1483,159,15,90.57,8,94.97,90.00,15,1,0.0667,1.0000,0.1250,159,18,88.68,6,96.55,90.00,18,1,0.0556,1.0000,0.1053
Google TPU,coral,55,10,159,13,91.82,1,99.37,90.00,13,1,0.0801,1.0000,0.1483,159,15,90.57,8,94.97,90.00,15,1,0.0667,1.0000,0.1250,159,18,88.68,6,96.55,90.00,18,1,0.0556,1.0000,0.1053
Google TPU,coral,57.5,10,159,13,91.82,1,99.37,90.00,13,1,0.0801,1.0000,0.1483,159,15,90.57,8,94.97,90.00,15,1,0.0667,1.0000,0.1250,159,18,88.68,6,96.55,90.00,18,1,0.0556,1.0000,0.1053
Google TPU,coral,60,10,159,13,91.82,1,99.37,90.00,13,1,0.0801,1.0000,0.1483,159,15,90.57,8,94.97,90.00,15,1,0.0667,1.0000,0.1250,159,18,88.68,6,96.55,90.00,18,1,0.0556,1.0000,0.1053
Google TPU,coral,62.5,10,159,13,91.82,1,99.37,90.00,12,1,0.0871,1.0000,0.1603,159,15,90.57,8,94.97,90.00,13,1,0.0801,1.0000,0.1483,159,18,88.68,6,96.55,90.00,14,1,0.0714,1.0000,0.1333
Google TPU,coral,65,10,159,13,91.82,1,99.37,90.00,12,1,0.0871,1.0000,0.1603,159,15,90.57,8,94.97,90.00,13,1,0.0801,1.0000,0.1483,159,18,88.68,6,96.55,90.00,14,1,0.0714,1.0000,0.1333
Google TPU,coral,67.5,10,159,13,91.82,1,99.37,90.00,12,1,0.0871,1.0000,0.1603,159,15,90.57,8,94.97,90.00,13,1,0.0801,1.0000,0.1483,159,18,88.68,6,96.55,90.00,14,1,0.0714,1.0000,0.1333
Google TPU,coral,70,10,159,13,91.82,1,99.37,90.00,12,1,0.0871,1.0000,0.1603,159,15,90.57,8,94.97,90.00,13,1,0.0801,1.0000,0.1483,159,18,88.68,6,96.55,90.00,14,1,0.0714,1.0000,0.1333
Google TPU,coral,72.5,10,159,13,91.82,1,99.37,90.00,8,1,0.1250,1.0000,0.2222,159,15,90.57,8,94.97,90.00,12,1,0.0833,1.0000,0.1538,159,18,88.68,6,96.55,90.00,10,1,0.1000,1.0000,0.1818
Google TPU,coral,75,10,159,13,91.82,1,99.37,90.00,8,1,0.1250,1.0000,0.2222,159,15,90.57,8,94.97,90.00,12,1,0.0833,1.0000,0.1538,159,18,88.68,6,96.55,90.00,10,1,0.1000,1.0000,0.1818
Google TPU,coral,77.5,10,159,13,91.82,1,99.37,90.00,8,1,0.1250,1.0000,0.2222,159,15,90.57,8,94.97,90.00,12,1,0.0833,1.0000,0.1538,159,18,88.68,6,96.55,90.00,10,1,0.1000,1.0000,0.1818
Google TPU,coral,80,10,159,13,91.82,1,99.37,90.00,8,1,0.1250,1.0000,0.2222,159,15,90.57,8,94.97,90.00,12,1,0.0833,1.0000,0.1538,159,18,88.68,6,96.55,90.00,10,1,0.1000,1.0000,0.1818
Google TPU,coral,82.5,10,159,13,91.82,1,99.37,90.00,1,1,1.0000,1.0000,1.0000,159,15,90.57,8,94.97,90.00,8,1,0.1250,1.0000,0.2222,159,18,88.68,6,96.55,90.00,8,1,0.1250,1.0000,0.2222
Google TPU,coral,85,10,159,13,91.82,1,99.37,90.00,1,1,1.0000,1.0000,1.0000,159,15,90.57,8,94.97,90.00,8,1,0.1250,1.0000,0.2222,159,18,88.68,6,96.55,90.00,8,1,0.1250,1.0000,0.2222
Google TPU,coral,87.5,10,159,13,91.82,1,99.37,90.00,1,1,1.0000,1.0000,1.0000,159,15,90.57,8,94.97,90.00,8,1,0.1250,1.0000,0.2222,159,18,88.68,6,96.55,90.00,6,1,0.1667,1.0000,0.2857
Google TPU,coral,90,10,159,13,91.82,1,99.37,90.00,1,1,1.0000,1.0000,1.0000,159,15,90.57,8,94.97,90.00,8,1,0.1250,1.0000,0.2222,159,18,88.68,6,96.55,90.00,6,1,0.1667,1.0000,0.2857
Google TPU,coral,92.5,10,159,13,91.82,1,99.37,90.00,0,0,0.0000,0.0000,0.0000,159,15,90.57,8,94.97,90.00,6,0,0.0000,0.0000,0.0000,159,18,88.68,6,96.55,90.00,5,0,0.0000,0.0000,0.0000
Google TPU,coral,95,10,159,13,91.82,1,99.37,90.00,0,0,0.0000,0.0000,0.0000,159,15,90.57,8,94.97,90.00,6,0,0.0000,0.0000,0.0000,159,18,88.68,6,96.55,90.00,5,0,0.0000,0.0000,0.0000
Google TPU,coral,97.5,10,159,13,91.82,1,99.37,90.00,0,0,0.0000,0.0000,0.0000,159,15,90.57,8,94.97,90.00,6,0,0.0000,0.0000,0.0000,159,18,88.68,6,96.55,90.00,5,0,0.0000,0.0000,0.0000
Google TPU,coral,100,10,159,13,91.82,1,99.37,90.00,0,0,0.0000,0.0000,0.0000,159,15,90.57,8,94.97,90.00,6,0,0.0000,0.0000,0.0000,159,18,88.68,6,96.55,90.00,5,0,0.0000,0.0000,0.0000
NXP NPU,nxp,50,10,1273,13,98.98,4,99.69,85.00,13,2,0.1538,1.0000,0.2667,1273,9,99.29,7,99.45,65.00,9,2,0.2222,1.0000,0.3636,1273,17,98.70,7,99.45,85.00,16,2,0.1250,1.0000,0.2222
NXP NPU,nxp,52.5,10,1273,13,98.98,4,99.69,85.00,13,2,0.1538,1.0000,0.2667,1273,9,99.29,7,99.45,65.00,9,2,0.2222,1.0000,0.3636,1273,17,98.70,7,99.45,85.00,16,2,0.1144,1.0000,0.2052
NXP NPU,nxp,55,10,1273,13,98.98,4,99.69,85.00,13,2,0.1538,1.0000,0.2667,1273,9,99.29,7,99.45,65.00,9,2,0.2222,1.0000,0.3636,1273,17,98.70,7,99.45,85.00,16,2,0.1144,1.0000,0.2052
NXP NPU,nxp,57.5,10,1273,13,98.98,4,99.69,85.00,13,2,0.1538,1.0000,0.2667,1273,9,99.29,7,99.45,65.00,9,2,0.2222,1.0000,0.3636,1273,17,98.70,7,99.45,85.00,16,2,0.1144,1.0000,0.2052
NXP NPU,nxp,60,10,1273,13,98.98,4,99.69,85.00,13,2,0.1538,1.0000,0.2667,1273,9,99.29,7,99.45,65.00,9,2,0.2222,1.0000,0.3636,1273,17,98.70,7,99.45,85.00,16,2,0.1144,1.0000,0.2052
NXP NPU,nxp,62.5,10,1273,13,98.98,4,99.69,85.00,13,2,0.1538,1.0000,0.2667,1273,9,99.29,7,99.45,65.00,4,1,0.2500,0.5000,0.3333,1273,17,98.70,7,99.45,85.00,13,2,0.1291,1.0000,0.2288
NXP NPU,nxp,65,10,1273,13,98.98,4,99.69,85.00,13,2,0.1538,1.0000,0.2667,1273,9,99.29,7,99.45,65.00,4,1,0.2500,0.5000,0.3333,1273,17,98.70,7,99.45,85.00,13,2,0.1291,1.0000,0.2288
NXP NPU,nxp,67.5,10,1273,13,98.98,4,99.69,85.00,13,2,0.1538,1.0000,0.2667,1273,9,99.29,7,99.45,65.00,4,1,0.2500,0.5000,0.3333,1273,17,98.70,7,99.45,85.00,13,2,0.1291,1.0000,0.2288
NXP NPU,nxp,70,10,1273,13,98.98,4,99.69,85.00,13,2,0.1538,1.0000,0.2667,1273,9,99.29,7,99.45,65.00,4,1,0.2500,0.5000,0.3333,1273,17,98.70,7,99.45,85.00,13,2,0.1291,1.0000,0.2288
NXP NPU,nxp,72.5,10,1273,13,98.98,4,99.69,85.00,8,2,0.2500,1.0000,0.4000,1273,9,99.29,7,99.45,65.00,2,0,0.0000,0.0000,0.0000,1273,17,98.70,7,99.45,85.00,11,2,0.1818,1.0000,0.3077
NXP NPU,nxp,75,10,1273,13,98.98,4,99.69,85.00,8,2,0.2500,1.0000,0.4000,1273,9,99.29,7,99.45,65.00,2,0,0.0000,0.0000,0.0000,1273,17,98.70,7,99.45,85.00,11,2,0.1818,1.0000,0.3077
