Accelerator,Platform,Category,Total_Functions,Flagged_Functions,Manually_Analyzed_Functions,NER
Google TPU,coral,Relevant Functions,159,8,1,99.37
Google TPU,coral,KD Entry Point,159,13,7,95.60
Google TPU,coral,SMem Handling,159,14,4,97.48
NXP NPU,nxp,Relevant Functions,1273,12,2,99.84
NXP NPU,nxp,KD Entry Point,1273,10,7,99.45
NXP NPU,nxp,SMem Handling,1273,13,7,99.45
TMMA,ti,Relevant Functions,6138,4,3,99.95
TMMA,ti,KD Entry Point,6138,9,6,99.90
TMMA,ti,SMem Handling,6138,15,2,99.97
AWS INF,aws,Relevant Functions,635,1,1,99.84
AWS INF,aws,KD Entry Point,635,11,8,98.74
AWS INF,aws,SMem Handling,635,16,13,97.95
