,,,Relevant Functions,,,,,,,,,,,KD Entry Point,,,,,,,,,,,SMem Handling,,,,,,,,,,
Accelerator,Platform,Threshold,Total,Flagged,BER,Manual,NER,VRC,Retrieved,TP,Precision,Recall,F1,Total,Flagged,BER,Manual,NER,VRC,Retrieved,TP,Precision,Recall,F1,Total,Flagged,BER,Manual,NER,VRC,Retrieved,TP,Precision,Recall,F1
Google TPU,coral,50,159,8,94.97,1,99.37,90.00,8,1,0.1250,1.0000,0.2222,159,13,91.82,7,95.60,90.00,13,2,0.1429,1.0000,0.2500,159,14,91.19,4,97.48,90.00,14,1,0.0714,1.0000,0.1333
Google TPU,coral,52.5,159,8,94.97,1,99.37,90.00,8,1,0.1250,1.0000,0.2222,159,13,91.82,7,95.60,90.00,13,2,0.1429,1.0000,0.2500,159,14,91.19,4,97.48,90.00,14,1,0.0714,1.0000,0.1333
Google TPU,coral,55,159,8,94.97,1,99.37,90.00,8,1,0.1250,1.0000,0.2222,159,13,91.82,7,95.60,90.00,13,2,0.1429,1.0000,0.2500,159,14,91.19,4,97.48,90.00,14,1,0.0714,1.0000,0.1333
Google TPU,coral,57.5,159,8,94.97,1,99.37,90.00,8,1,0.1250,1.0000,0.2222,159,13,91.82,7,95.60,90.00,13,2,0.1429,1.0000,0.2500,159,14,91.19,4,97.48,90.00,14,1,0.0714,1.0000,0.1333
Google TPU,coral,60,159,8,94.97,1,99.37,90.00,8,1,0.1250,1.0000,0.2222,159,13,91.82,7,95.60,90.00,13,2,0.1429,1.0000,0.2500,159,14,91.19,4,97.48,90.00,14,1,0.0714,1.0000,0.1333
Google TPU,coral,62.5,159,8,94.97,1,99.37,90.00,6,1,0.1667,1.0000,0.2857,159,13,91.82,7,95.60,90.00,13,2,0.1429,1.0000,0.2500,159,14,91.19,4,97.48,90.00,12,1,0.0833,1.0000,0.1538
Google TPU,coral,65,159,8,94.97,1,99.37,90.00,6,1,0.1667,1.0000,0.2857,159,13,91.82,7,95.60,90.00,13,2,0.1429,1.0000,0.2500,159,14,91.19,4,97.48,90.00,12,1,0.0833,1.0000,0.1538
Google TPU,coral,67.5,159,8,94.97,1,99.37,90.00,6,1,0.1667,1.0000,0.2857,159,13,91.82,7,95.60,90.00,13,2,0.1429,1.0000,0.2500,159,14,91.19,4,97.48,90.00,12,1,0.0833,1.0000,0.1538
Google TPU,coral,70,159,8,94.97,1,99.37,90.00,6,1,0.1667,1.0000,0.2857,159,13,91.82,7,95.60,90.00,13,2,0.1429,1.0000,0.2500,159,14,91.19,4,97.48,90.00,12,1,0.0833,1.0000,0.1538
Google TPU,coral,72.5,159,8,94.97,1,99.37,90.00,4,1,0.2500,1.0000,0.4000,159,13,91.82,7,95.60,90.00,13,2,0.1429,1.0000,0.2500,159,14,91.19,4,97.48,90.00,9,1,0.1111,1.0000,0.2000
Google TPU,coral,75,159,8,94.97,1,99.37,90.00,4,1,0.2500,1.0000,0.4000,159,13,91.82,7,95.60,90.00,13,2,0.1429,1.0000,0.2500,159,14,91.19,4,97.48,90.00,9,1,0.1111,1.0000,0.2000
Google TPU,coral,77.5,159,8,94.97,1,99.37,90.00,4,1,0.2500,1.0000,0.4000,159,13,91.82,7,95.60,90.00,13,2,0.1429,1.0000,0.2500,159,14,91.19,4,97.48,90.00,9,1,0.1111,1.0000,0.2000
Google TPU,coral,80,159,8,94.97,1,99.37,90.00,4,1,0.2500,1.0000,0.4000,159,13,91.82,7,95.60,90.00,13,2,0.1429,1.0000,0.2500,159,14,91.19,4,97.48,90.00,9,1,0.1111,1.0000,0.2000
Google TPU,coral,82.5,159,8,94.97,1,99.37,90.00,1,1,1.0000,1.0000,1.0000,159,13,91.82,7,95.60,90.00,7,2,0.2500,1.0000,0.4000,159,14,91.19,4,97.48,90.00,6,1,0.1667,1.0000,0.2857
Google TPU,coral,85,159,8,94.97,1,99.37,90.00,1,1,1.0000,1.0000,1.0000,159,13,91.82,7,95.60,90.00,7,2,0.2500,1.0000,0.4000,159,14,91.19,4,97.48,90.00,6,1,0.1667,1.0000,0.2857
Google TPU,coral,87.5,159,8,94.97,1,99.37,90.00,1,1,1.0000,1.0000,1.0000,159,13,91.82,7,95.60,90.00,7,2,0.2500,1.0000,0.4000,159,14,91.19,4,97.48,90.00,5,1,0.2000,1.0000,0.3333
Google TPU,coral,90,159,8,94.97,1,99.37,90.00,1,1,1.0000,1.0000,1.0000,159,13,91.82,7,95.60,90.00,7,2,0.2500,1.0000,0.4000,159,14,91.19,4,97.48,90.00,5,1,0.2000,1.0000,0.3333
Google TPU,coral,92.5,159,8,94.97,1,99.37,90.00,0,0,0.0000,0.0000,0.0000,159,13,91.82,7,95.60,90.00,5,0,0.0000,0.0000,0.0000,159,14,91.19,4,97.48,90.00,3,0,0.0000,0.0000,0.0000
Google TPU,coral,95,159,8,94.97,1,99.37,90.00,0,0,0.0000,0.0000,0.0000,159,13,91.82,7,95.60,90.00,5,0,0.0000,0.0000,0.0000,159,14,91.19,4,97.48,90.00,3,0,0.0000,0.0000,0.0000
Google TPU,coral,97.5,159,8,94.97,1,99.37,90.00,0,0,0.0000,0.0000,0.0000,159,13,91.82,7,95.60,90.00,5,0,0.0000,0.0000,0.0000,159,14,91.19,4,97.48,90.00,3,0,0.0000,0.0000,0.0000
Google TPU,coral,100,159,8,94.97,1,99.37,90.00,0,0,0.0000,0.0000,0.0000,159,13,91.82,7,95.60,90.00,5,0,0.0000,0.0000,0.0000,159,14,91.19,4,97.48,90.00,3,0,0.0000,0.0000,0.0000
NXP NPU,nxp,50,1273,12,99.06,2,99.84,85.00,12,4,0.2857,1.0000,0.4444,1273,10,99.21,7,99.45,60.00,10,2,0.2000,1.0000,0.3333,1273,13,98.98,7,99.45,80.00,13,2,0.1538,1.0000,0.2667
NXP NPU,nxp,52.5,1273,12,99.06,2,99.84,85.00,12,4,0.2857,1.0000,0.4444,1273,10,99.21,7,99.45,60.00,10,2,0.2000,1.0000,0.3333,1273,13,98.98,7,99.45,80.00,13,2,0.1538,1.0000,0.2667
NXP NPU,nxp,55,1273,12,99.06,2,99.84,85.00,12,4,0.2857,1.0000,0.4444,1273,10,99.21,7,99.45,60.00,10,2,0.2000,1.0000,0.3333,1273,13,98.98,7,99.45,80.00,13,2,0.1538,1.0000,0.2667
NXP NPU,nxp,57.5,1273,12,99.06,2,99.84,85.00,12,4,0.2857,1.0000,0.4444,1273,10,99.21,7,99.45,60.00,10,2,0.2000,1.0000,0.3333,1273,13,98.98,7,99.45,80.00,13,2,0.1538,1.0000,0.2667
NXP NPU,nxp,60,1273,12,99.06,2,99.84,85.00,12,4,0.2857,1.0000,0.4444,1273,10,99.21,7,99.45,60.00,10,2,0.2000,1.0000,0.3333,1273,13,98.98,7,99.45,80.00,13,2,0.1538,1.0000,0.2667
NXP NPU,nxp,62.5,1273,12,99.06,2,99.84,85.00,12,4,0.2857,1.0000,0.4444,1273,10,99.21,7,99.45,60.00,3,0,0.0000,0.0000,0.0000,1273,13,98.98,7,99.45,80.00,13,2,0.1538,1.0000,0.2667
NXP NPU,nxp,65,1273,12,99.06,2,99.84,85.00,12,4,0.2857,1.0000,0.4444,1273,10,99.21,7,99.45,60.00,3,0,0.0000,0.0000,0.0000,1273,13,98.98,7,99.45,80.00,13,2,0.1538,1.0000,0.2667
NXP NPU,nxp,67.5,1273,12,99.06,2,99.84,85.00,12,4,0.2857,1.0000,0.4444,1273,10,99.21,7,99.45,60.00,3,0,0.0000,0.0000,0.0000,1273,13,98.98,7,99.45,80.00,13,2,0.1538,1.0000,0.2667
NXP NPU,nxp,70,1273,12,99.06,2,99.84,85.00,12,4,0.2857,1.0000,0.4444,1273,10,99.21,7,99.45,60.00,3,0,0.0000,0.0000,0.0000,1273,13,98.98,7,99.45,80.00,13,2,0.1538,1.0000,0.2667
NXP NPU,nxp,72.5,1273,12,99.06,2,99.84,85.00,7,4,0.4444,1.0000,0.6154,1273,10,99.21,7,99.45,60.00,2,0,0.0000,0.0000,0.0000,1273,13,98.98,7,99.45,80.00,11,2,0.1818,1.0000,0.3077
NXP NPU,nxp,75,1273,12,99.06,2,99.84,85.00,7,4,0.4444,1.0000,0.6154,1273,10,99.21,7,99.45,60.00,2,0,0.0000,0.0000,0.0000,1273,13,98.98,7,99.45,80.00,11,2,0.1818,1.0000,0.3077
NXP NPU,nxp,77.5,1273,12,99.06,2,99.84,85.00,7,4,0.4444,1.0000,0.6154,1273,10,99.21,7,99.45,60.00,2,0,0.0000,0.0000,0.0000,1273,13,98.98,7,99.45,80.00,11,2,0.1818,1.0000,0.3077
NXP NPU,nxp,80,1273,12,99.06,2,99.84,85.00,7,4,0.4444,1.0000,0.6154,1273,10,99.21,7,99.45,60.00,2,0,0.0000,0.0000,0.0000,1273,13,98.98,7,99.45,80.00,11,2,0.1818,1.0000,0.3077
NXP NPU,nxp,82.5,1273,12,99.06,2,99.84,85.00,1,2,1.0000,0.5000,0.6667,1273,10,99.21,7,99.45,60.00,1,0,0.0000,0.0000,0.0000,1273,13,98.98,7,99.45,80.00,4,0,0.0000,0.0000,0.0000
NXP NPU,nxp,85,1273,12,99.06,2,99.84,85.00,1,2,1.0000,0.5000,0.6667,1273,10,99.21,7,99.45,60.00,1,0,0.0000,0.0000,0.0000,1273,13,98.98,7,99.45,80.00,4,0,0.0000,0.0000,0.0000
NXP NPU,nxp,87.5,1273,12,99.06,2,99.84,85.00,1,2,1.0000,0.5000,0.6667,1273,10,99.21,7,99.45,60.00,1,0,0.0000,0.0000,0.0000,1273,13,98.98,7,99.45,80.00,3,0,0.0000,0.0000,0.0000
NXP NPU,nxp,90,1273,12,99.06,2,99.84,85.00,1,2,1.0000,0.5000,0.6667,1273,10,99.21,7,99.45,60.00,1,0,0.0000,0.0000,0.0000,1273,13,98.98,7,99.45,80.00,3,0,0.0000,0.0000,0.0000
NXP NPU,nxp,92.5,1273,12,99.06,2,99.84,85.00,0,0,0.0000,0.0000,0.0000,1273,10,99.21,7,99.45,60.00,0,0,0.0000,0.0000,0.0000,1273,13,98.98,7,99.45,80.00,0,0,0.0000,0.0000,0.0000
NXP NPU,nxp,95,1273,12,99.06,2,99.84,85.00,0,0,0.0000,0.0000,0.0000,1273,10,99.21,7,99.45,60.00,0,0,0.0000,0.0000,0.0000,1273,13,98.98,7,99.45,80.00,0,0,0.0000,0.0000,0.0000
NXP NPU,nxp,97.5,1273,12,99.06,2,99.84,85.00,0,0,0.0000,0.0000,0.0000,1273,10,99.21,7,99.45,60.00,0,0,0.0000,0.0000,0.0000,1273,13,98.98,7,99.45,80.00,0,0,0.0000,0.0000,0.0000
NXP NPU,nxp,100,1273,12,99.06,2,99.84,85.00,0,0,0.0000,0.0000,0.0000,1273,10,99.21,7,99.45,60.00,0,0,0.0000,0.0000,0.0000,1273,13,98.98,7,99.45,80.00,0,0,0.0000,0.0000,0.0000
TMMA,ti,50,6138,4,99.93,3,99.95,80.00,4,1,0.2500,0.5000,0.3333,6138,9,99.85,6,99.90,90.00,9,2,0.2222,1.0000,0.3636,6138,15,99.76,2,99.97,100.00,14,2,0.1429,1.0000,0.2500
TMMA,ti,52.5,6138,4,99.93,3,99.95,80.00,4,1,0.2500,0.5000,0.3333,6138,9,99.85,6,99.90,90.00,9,2,0.2222,1.0000,0.3636,6138,15,99.76,2,99.97,100.00,14,2,0.1429,1.0000,0.2500
TMMA,ti,55,6138,4,99.93,3,99.95,80.00,4,1,0.2500,0.5000,0.3333,6138,9,99.85,6,99.90,90.00,9,2,0.2222,1.0000,0.3636,6138,15,99.76,2,99.97,100.00,14,2,0.1429,1.0000,0.2500
TMMA,ti,57.5,6138,4,99.93,3,99.95,80.00,4,1,0.2500,0.5000,0.3333,6138,9,99.85,6,99.90,90.00,9,2,0.2222,1.0000,0.3636,6138,15,99.76,2,99.97,100.00,14,2,0.1429,1.0000,0.2500
TMMA,ti,60,6138,4,99.93,3,99.95,80.00,4,1,0.2500,0.5000,0.3333,6138,9,99.85,6,99.90,90.00,9,2,0.2222,1.0000,0.3636,6138,15,99.76,2,99.97,100.00,14,2,0.1429,1.0000,0.2500
TMMA,ti,62.5,6138,4,99.93,3,99.95,80.00,3,1,0.3333,0.5000,0.4000,6138,9,99.85,6,99.90,90.00,8,2,0.2500,1.0000,0.4000,6138,15,99.76,2,99.97,100.00,13,2,0.1538,1.0000,0.2667
TMMA,ti,65,6138,4,99.93,3,99.95,80.00,3,1,0.3333,0.5000,0.4000,6138,9,99.85,6,99.90,90.00,8,2,0.2500,1.0000,0.4000,6138,15,99.76,2,99.97,100.00,13,2,0.1538,1.0000,0.2667
TMMA,ti,67.5,6138,4,99.93,3,99.95,80.00,3,1,0.3333,0.5000,0.4000,6138,9,99.85,6,99.90,90.00,8,2,0.2500,1.0000,0.4000,6138,15,99.76,2,99.97,100.00,13,2,0.1538,1.0000,0.2667
TMMA,ti,70,6138,4,99.93,3,99.95,80.00,3,1,0.3333,0.5000,0.4000,6138,9,99.85,6,99.90,90.00,8,2,0.2500,1.0000,0.4000,6138,15,99.76,2,99.97,100.00,13,2,0.1538,1.0000,0.2667
