Accelerator,Platform,Category,Total_Functions,Flagged_Functions,BER
Google TPU,coral,Relevant Functions,159,12,92.45
Google TPU,coral,KD Entry Point,159,16,89.94
Google TPU,coral,SMem Handling,159,18,88.68
NXP NPU,nxp,Relevant Functions,1273,15,98.82
NXP NPU,nxp,KD Entry Point,1273,8,99.37
NXP NPU,nxp,SMem Handling,1273,16,98.74
TMMA,ti,Relevant Functions,6138,7,99.89
TMMA,ti,KD Entry Point,6138,9,99.85
TMMA,ti,SMem Handling,6138,16,99.74
HAILO NPU,hailo,Relevant Functions,296,12,95.95
HAILO NPU,hailo,KD Entry Point,296,20,93.24
HAILO NPU,hailo,SMem Handling,296,24,91.89
NVIDIA GPU,nvidia,Relevant Functions,7624,33,99.57
NVIDIA GPU,nvidia,KD Entry Point,7624,39,99.49
NVIDIA GPU,nvidia,SMem Handling,7624,47,99.38
AWS INF,aws,Relevant Functions,635,7,98.90
AWS INF,aws,KD Entry Point,635,13,97.95
AWS INF,aws,SMem Handling,635,17,97.32
