Accelerator,Platform,Category,Total_Functions,Flagged_Functions,Manually_Analyzed_Functions,VRC,NER
Google TPU,coral,Relevant Functions,159,12,1,90.00,99.37
Google TPU,coral,KD Entry Point,159,16,9,90.00,94.34
Google TPU,coral,SMem Handling,159,18,9,80.00,94.34
NXP NPU,nxp,Relevant Functions,1273,15,4,85.00,99.69
NXP NPU,nxp,KD Entry Point,1273,8,5,65.00,99.61
NXP NPU,nxp,SMem Handling,1273,16,7,85.00,99.45
TMMA,ti,Relevant Functions,6138,7,6,75.00,99.90
TMMA,ti,KD Entry Point,6138,9,6,90.00,99.90
TMMA,ti,SMem Handling,6138,16,2,100.00,99.97
HAILO NPU,hailo,Relevant Functions,296,12,2,85.00,99.32
HAILO NPU,hailo,KD Entry Point,296,20,12,95.00,95.95
HAILO NPU,hailo,SMem Handling,296,24,4,100.00,98.65
NVIDIA GPU,nvidia,Relevant Functions,7624,33,14,80.00,99.82
NVIDIA GPU,nvidia,KD Entry Point,7624,39,16,90.00,99.79
NVIDIA GPU,nvidia,SMem Handling,7624,47,25,91.67,99.67
AWS INF,aws,Relevant Functions,635,7,4,73.33,99.37
AWS INF,aws,KD Entry Point,635,13,9,90.00,98.58
AWS INF,aws,SMem Handling,635,17,15,81.67,97.64
