Driver,SourceFiles,Tagged,Typedef,Anonymous,Unions,Structs,Total,DefinedElsewhere,Roots
coral,16,29,0,0,1,29,30,27,/home/sri/Desktop/Research/Accelerators_Research/google_coral_dev/gasket-driver
hailo,54,85,4,1,4,90,94,35,/home/sri/Desktop/Research/Accelerators_Research/halio/hailort-drivers
aws,78,180,1,7,8,188,196,35,/home/sri/Desktop/Research/Accelerators_Research/aws_inferentia/major_rev_codeql/aws-neuronx-2.20.28.0
nxp,112,363,5,14,21,382,403,106,/home/sri/Desktop/Research/Accelerators_Research/nxp_8mplusbb/linux-imx/drivers/mxc/gpu-viv
nvidia_nvgpu,1916,1356,0,65,115,1421,1536,140,/media/sri/D/l4t-r35.6.1/source/kernel/nvgpu/drivers/gpu/nvgpu /media/sri/D/l4t-r35.6.1/source/kernel/nvgpu/include/uapi
nvidia_nvmap,28,49,0,3,6,52,58,58,/media/sri/D/l4t-r35.6.1/source/kernel/nvidia/drivers/video/tegra/nvmap /media/sri/D/l4t-r35.6.1/source/kernel/nvidia/include/uapi/linux/nvmap.h
ti_dmabuf,25,24,0,0,0,24,24,77,/home/sri/Desktop/Research/Accelerators_Research/ti_tda4vm/kernel_source/board-support/ti-linux-kernel-6.1.80+gitAUTOINC+2e423244f8-ti/drivers/dma-buf
ti_misc,665,569,3,29,42,601,643,357,/home/sri/Desktop/Research/Accelerators_Research/ti_tda4vm/kernel_source/board-support/ti-linux-kernel-6.1.80+gitAUTOINC+2e423244f8-ti/drivers/misc
ti_remoteproc,48,80,0,0,0,80,80,100,/home/sri/Desktop/Research/Accelerators_Research/ti_tda4vm/kernel_source/board-support/ti-linux-kernel-6.1.80+gitAUTOINC+2e423244f8-ti/drivers/remoteproc
ti_rpmsg,15,37,0,7,0,44,44,47,/home/sri/Desktop/Research/Accelerators_Research/ti_tda4vm/kernel_source/board-support/ti-linux-kernel-6.1.80+gitAUTOINC+2e423244f8-ti/drivers/rpmsg
